group,message
General,"Hola como estas? Un gusto saludarte!

En que podemos ayudarte?
"
Membresia NSN,"Listo te va a llegar un email con la confirmación y el acceso.
Siempre podes iniciar sesión con tus datos en este link para ver todo el contenido de la membresia: https://nosoynormalcerveceria.com/login

Te dejamos estos links para que te unas a los diferentes grupos y accedas a otro contenido

WhatsApp: https://chat.whatsapp.com/CepD7XO6w1WGikeC5GwTR2?mode=ac_t

Telegram: https://t.me/+q5VizR8e-TdhYzEx

Inteligencias artificiales: https://nosoynormalcerveceria.com/page/inteligencia-artificial

Calculadoras para productores: https://nosoynormalcerveceria.com/page/aplicaciones-para-productores

Blog con contenido exclusivo: https://nosoynormalcerveceria.com/blog

Videos exclusivos: https://nosoynormalcerveceria.com/curso/contenido-exclusivo-para-suscriptores

Drive con documentos: https://drive.google.com/drive/folders/1xMQiLbi0tYOFasnZP2VMJFMB-zqoEFeq"
Membresia NSN,"https://nosoynormalcerveceria.com/curso/contenido-exclusivo-para-suscriptores
"
Links Cursos online,https://nosoynormalcerveceria.com/p/combo-produccion-de-bebidas
Links Cursos online,"https://nosoynormalcerveceria.com/curso/lupulado-y-botanicos-avanzados
"
Links Cursos online,https://nosoynormalcerveceria.com/curso/hardseltzer
Links Cursos online,https://nosoynormalcerveceria.com/curso/vermuts
Links Cursos online,"https://nosoynormalcerveceria.com/p/combo-gratis
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/cannabis-en-las-bebidas
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/elaboracion-de-gin-y-absenta-caseros-por-maceracion-indirecta
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/elaboracion-de-vino-artesanal
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/elaboracion-de-licores-artesanales
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/tecnicas-avanzadas-para-la-elaboracion-de-hidromiel
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/elaboracion-de-fernet-artesanal
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/quimica-tratamiento-agua-cervecera
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/elaboracion-de-sidra-artesanal
"
Links Cursos online,https://nosoynormalcerveceria.com/curso/revalorizacion-de-desechos-cerveceros
Links Cursos online,"https://nosoynormalcerveceria.com/curso/mini-curso-de-elaboracion-de-cerveza
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/marketing-y-emprendimiento-para-cerveceros
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/reutilizacion-y-propagacion-de-levaduras
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/insumos-y-armado-de-recetas
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/embarrilado-y-llenado-a-contrapresion
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/tecnicas-avanzadas-para-la-elaboracion-de-cerveza
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/elaboracion-de-cerveza-libre-de-gluten
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/elaboracion-de-cerveza-artesanal
"
Links Cursos online,"https://nosoynormalcerveceria.com/curso/curso-de-elaboracion-de-hidromiel
"
Links Otros,"https://nosoynormalcerveceria.com/curso/contenido-exclusivo-para-suscriptores
"
Links Otros,https://nosoynormalcerveceria.com/page/insumos
Insumos,https://nosoynormalcerveceria.com/page/insumos
